recipe_name,recipe_default_servings,recipe_mins_to_make,link_to_recipe
Outrageous Chocolate Chip Cookies,18,25,https://www.allrecipes.com/recipe/10141/outrageous-chocolate-chip-cookies/

Virgina's Tuna Salad,4,40,https://www.allrecipes.com/recipe/20185/virginas-tuna-salad/
Good Old Fashioned Pancakes,8,20,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
Cardamom Maple Salmon,6.0,25.0,https://www.allrecipes.com/recipe/237297/cardamom-maple-salmon/
Beef Stroganoff with Ground Beef,4.0,30.0,https://www.allrecipes.com/recipe/276859/beef-stroganoff-with-ground-beef/
Sweet Potato and Venison Shepherd's Pie,6.0,170.0,https://www.allrecipes.com/recipe/277079/sweet-potato-and-venison-shepherds-pie/
World's Best Lasagna,12.0,195.0,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/
Chewy Peanut Butter Brownies,16.0,40.0,https://www.allrecipes.com/recipe/11504/chewy-peanut-butter-brownies/
Terrific Turkey Chili,6.0,70.0,https://www.allrecipes.com/recipe/62763/terrific-turkey-chili/
Empanadas Salteï¿½as,12.0,100.0,https://www.allrecipes.com/recipe/282433/empanadas-saltenas/
Greek Salad I,6.0,20.0,https://www.allrecipes.com/recipe/14373/greek-salad-i/
Chef John's Sourdough Bread,8.0,1295.0,https://www.allrecipes.com/recipe/260540/chef-johns-sourdough-bread/
A Very Popular BBQ Sauce,32.0,10.0,https://www.allrecipes.com/recipe/51226/a-very-popular-bbq-sauce/
Apple Blackberry Pie,6.0,70.0,https://www.allrecipes.com/recipe/232434/apple-blackberry-pie/
Hot Fudge Ice Cream Bar Dessert,12.0,95.0,https://www.allrecipes.com/recipe/22728/hot-fudge-ice-cream-bar-dessert/
Chicken and Waffles,4.0,65.0,https://www.allrecipes.com/recipe/193287/chicken-and-waffles/
Avocado Toast with Grilled Cheese,2.0,15.0,https://www.allrecipes.com/recipe/276105/avocado-toast-with-grilled-cheese/
Steve's Famous Garlic Home Fries,8.0,45.0,https://www.allrecipes.com/recipe/147539/steves-famous-garlic-home-fries/
Power Oatmeal,4.0,25.0,https://www.allrecipes.com/recipe/246423/power-oatmeal/
Strawberry Spinach Salad Breakfast Wrap,2.0,15.0,https://www.allrecipes.com/recipe/261554/strawberry-spinach-salad-breakfast-wrap/
Egg Pesto Breakfast Wrap,1.0,25.0,https://www.allrecipes.com/recipe/182811/egg-pesto-breakfast-wrap/
Green Eggs and Ham Breakfast Sandwich,5.0,45.0,https://www.allrecipes.com/recipe/44538/green-eggs-and-ham-breakfast-sandwich/
Cinnamon-Accented French Toast,6.0,10.0,https://www.allrecipes.com/recipe/222916/cinnamon-accented-french-toast/
Sausage Crescent Rolls,20.0,50.0,https://www.allrecipes.com/recipe/21746/sausage-crescent-rolls/
Bronco Burger,8.0,25.0,https://www.allrecipes.com/recipe/26592/bronco-burger/
Lunch Box Hot Hot Dogs,1.0,25.0,https://www.allrecipes.com/recipe/157173/lunch-box-hot-hot-dogs/
Reuben Sandwich,4.0,25.0,https://www.allrecipes.com/recipe/32161/reuben-sandwich/
Barbequed Ribs,8.0,690.0,https://www.allrecipes.com/recipe/19856/barbequed-ribs/
Best BLT Chicken Panini,2.0,25.0,https://www.allrecipes.com/recipe/281659/best-blt-chicken-panini/
Grandma's Iron Skillet Apple Pie,8.0,75.0,https://www.allrecipes.com/recipe/213569/grandmas-iron-skillet-apple-pie/
Philly Cheese Steak Sliders,12.0,50.0,https://www.allrecipes.com/recipe/263798/philly-cheese-steak-sliders/
Amish Meatloaf,8.0,75.0,https://www.allrecipes.com/recipe/65250/amish-meatloaf/
Chef John's Macaroni and Cheese,6.0,60.0,https://www.allrecipes.com/recipe/219166/chef-johns-macaroni-and-cheese/
Sizzling Steak Fajitas,6.0,150.0,https://www.allrecipes.com/recipe/215236/sizzling-steak-fajitas/
Chicago Deep-Dish Pizza,10.0,150.0,https://www.allrecipes.com/recipe/263611/chicago-deep-dish-pizza/
Juicy Thanksgiving Turkey,20.0,200.0,https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/
Tater Tot Taco Casserole,8.0,75.0,https://www.allrecipes.com/recipe/218573/tater-tot-taco-casserole/
Down Home Baked Beans,11.0,85.0,https://www.allrecipes.com/recipe/24758/down-home-baked-beans/
Salmon with Lemon and Dill,4.0,35.0,https://www.allrecipes.com/recipe/87279/salmon-with-lemon-and-dill/
Easy Peach Cobbler,6.0,40.0,https://www.allrecipes.com/recipe/19044/easy-peach-cobbler/
RITZ Hazelnut Gelato Sandwich,25.0,8.0,https://www.allrecipes.com/recipe/235905/ritz-hazelnut-gelato-sandwich/
Sam's Famous Carrot Cake,15.0,100.0,https://www.allrecipes.com/recipe/8270/sams-famous-carrot-cake/
Rhubarb Cheesecake,12.0,65.0,https://www.allrecipes.com/recipe/25626/rhubarb-cheesecake/
Boston Cream Pie II,12.0,80.0,https://www.allrecipes.com/recipe/8138/boston-cream-pie-ii/
Creamy Coconut Cake,12.0,145.0,https://www.allrecipes.com/recipe/23762/creamy-coconut-cake/
Banana Pudding IV,12.0,210.0,https://www.allrecipes.com/recipe/21398/banana-pudding-iv/
Chocolate Pie,8.0,75.0,https://www.allrecipes.com/recipe/13877/chocolate-pie/
MMMMM... Brownies,16.0,60.0,https://www.allrecipes.com/recipe/25080/mmmmm-brownies/
Ninety Minute Cinnamon Rolls,12.0,90.0,https://www.allrecipes.com/recipe/17006/ninety-minute-cinnamon-rolls/
